opa_file,wave_range,R,fsed,kzz
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.1,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.1,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.1,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.1,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.1,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.1,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.1,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.1,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.1,100000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.3,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.3,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.3,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.3,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.3,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.3,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.3,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.3,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.3,100000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.5,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.5,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.5,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.5,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.5,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.5,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.5,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.5,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.5,100000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.7,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.7,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.7,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.7,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.7,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.7,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,0.7,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,0.7,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,0.7,100000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,1.0,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,1.0,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,1.0,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,1.0,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,1.0,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,1.0,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,1.0,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,1.0,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,1.0,100000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,2.0,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,2.0,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,2.0,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,2.0,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,2.0,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,2.0,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,2.0,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,2.0,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,2.0,100000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,6.0,10000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,6.0,10000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,6.0,10000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,6.0,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,6.0,1000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,6.0,1000000000.0
/data2/picaso_dbs/all_opacities_0.3_1_R15000.db,"[0.3, 0.6]",4000,6.0,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_0.6_6_R60000.db,"[0.6, 6]",4000,6.0,100000000000.0
/data2/picaso_dbs/R60000/all_opacities_4.8_15_R60000.db,"[6, 15]",4000,6.0,100000000000.0
